id,name,street,bic,country
l10n_me_bank_CBCGMEPG,Centralna Banka Crne Gore,Bul.Sv.Petra Cetinjskog 6,CBCGMEPG,ME
l10n_me_bank_ATLMMEP2,Atlas Banka,Vaka Đurovića bb.,ATLMMEP2,ME
l10n_me_bank_CKBCMEPG,Crnogorska Komercijalna Banka,Moskovska bb.,CKBCMEPG,ME
l10n_me_bank_OPPOMEPG,Erste Banka AD,Arsenija Boljevića 2A,OPPOMEPG,ME
l10n_me_bank_HBBAMEPG,Hipotekarna Banka AD,Josipa Broza Tita 67,HBBAMEPG,ME
l10n_me_bank_IBMNMEPG,Invest Banka AD Podgorica,Bul.Sv.Petra Cetinjskog 115,IBMNMEPG,ME
l10n_me_bank_KOBBMEP2,Komercijalna Banka AD Budva,Poslovni centar Podkošljun bb.,KOBBMEP2,ME
l10n_me_bank_LOVBMEPG,Lovćen Banka AD,Bul.Džordža Vašingtona 56/I,LOVBMEPG,ME
l10n_me_bank_MNBAMEPG,NLB Banka AD Podgorica,Bul. Stanka Dragojevića 46,MNBAMEPG,ME
l10n_me_bank_AZMNMEPG,Nova Banka  AD Podgorica,Marka Miljanova 46,AZMNMEPG,ME
l10n_me_bank_PRVAMEPG,Prva banka Crne Gore AD,Bul.Sv.Petra Cetinjskog 141,PRVAMEPG,ME
l10n_me_bank_PDBPMEPG,Societe Generale Banka Montenegro,Bulevar Revolucije br.17,PDBPMEPG,ME
l10n_me_bank_FFBMMEPG,Universal Capital Bank,Gradski stadion,FFBMMEPG,ME
l10n_me_bank_ZBCGMEPG,Zapad Banka AD Podgorica,Rimski Trg 42,ZBCGMEPG,ME
l10n_me_bank_TCZBMEPG,Ziraat Bank Montenegro,Ul. Slobode bb.,TCZBMEPG,ME
l10n_me_bank_HAABMEPG,Addiko Banka AD,Bul.Sv.Petra cetinjskog 37,HAABMEPG,ME
